"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c"
"mckieaa01",2001,28,1,"PHI","NBA","SG",76,2394,7.1,6,0.02,0.72,0.26,0,0,47.88,1723.68,622.44,0,0
"mckieaa01",2002,29,2,"PHI","NBA","SG",48,1471,3.5,2.5,0,0.44,0.54,0.02,0,0,647.24,794.34,29.42,0
"mckieaa01",2003,30,3,"PHI","NBA","SF",80,2374,4.5,5.2,0,0.09,0.88,0.03,0,0,213.66,2089.12,71.22,0
"mckieaa01",2004,31,4,"PHI","NBA","SF",75,2112,-1.3,2.8,0,0.26,0.7,0.03,0,0,549.12,1478.4,63.36,0
"mckieaa01",2005,32,5,"PHI","NBA","SG",68,1118,0.3,1.6,0.08,0.9,0.02,0,0,89.44,1006.2,22.36,0,0
"mckieaa01",2006,33,6,"LAL","NBA","PG",14,121,-11.2,-14.1,0.69,0.31,0,0,0,83.49,37.51,0,0,0
"mckieaa01",2007,34,7,"LAL","NBA","SF",10,131,-4.4,-4.4,0,0.08,0.8,0.12,0,0,10.48,104.8,15.72,0
"williaa01",2001,29,1,"NJN","NBA","PF",82,2336,-8.6,-7,0,0,0.06,0.68,0.26,0,0,140.16,1588.48,607.36
"williaa01",2002,30,2,"NJN","NBA","PF",82,1546,4.1,-0.4,0,0,0.05,0.76,0.2,0,0,77.3,1174.96,309.2
"williaa01",2003,31,3,"NJN","NBA","C",81,1597,1.6,-7.2,0,0,0,0.09,0.91,0,0,0,143.73,1453.27
"williaa01",2004,32,4,"NJN","NBA","C",72,1337,-2,-7.3,0,0,0,0.14,0.86,0,0,0,187.18,1149.82
"williaa01",2005,33,5,"TOT","NBA","C",42,315,-20.9,-20.1,0,0,0,0.27,0.72,0,0,0,85.05,226.8
"williaa01",2005,33,5,"NJN","NBA","C",19,150,-19.3,-18.3,0,0,0,0.19,0.81,0,0,0,28.5,121.5
"williaa01",2005,33,5,"TOR","NBA","C",23,165,-22.6,-21.9,0,0.01,0.01,0.35,0.64,0,1.65,1.65,57.75,105.6
"williaa01",2006,34,6,"TOT","NBA","C",48,791,-3.5,-0.2,0,0,0,0.49,0.52,0,0,0,387.59,411.32
"williaa01",2006,34,6,"TOR","NBA","C",14,99,-16.4,-13.3,0,0,0,0.69,0.31,0,0,0,68.31,30.69
"williaa01",2006,34,6,"NOK","NBA","C",34,692,-1.5,1.9,0,0,0,0.46,0.55,0,0,0,318.32,380.6
"williaa01",2007,35,7,"LAC","NBA","PF",38,374,-2.2,-1.8,0,0,0.3,0.67,0.03,0,0,112.2,250.58,11.22
"williaa01",2008,36,8,"LAC","NBA","C",30,297,-16.3,-8.7,0,0,0,0.23,0.77,0,0,0,68.31,228.69
"foylead01",2001,25,1,"GSW","NBA","C",58,1457,-10.5,-1.3,0,0,0,0.26,0.74,0,0,0,378.82,1078.18
"foylead01",2002,26,2,"GSW","NBA","C",79,1485,-6.3,-0.5,0,0,0,0.05,0.96,0,0,0,74.25,1425.6
"foylead01",2003,27,3,"GSW","NBA","C",82,1787,3.4,8.1,0,0,0,0.06,0.95,0,0,0,107.22,1697.65
"foylead01",2004,28,4,"GSW","NBA","C",44,572,-6.6,-6.8,0,0,0,0.03,0.97,0,0,0,17.16,554.84
"foylead01",2005,29,5,"GSW","NBA","C",78,1700,-0.7,3.1,0,0,0,0.01,1,0,0,0,17,1700
"foylead01",2006,30,6,"GSW","NBA","C",77,1824,-1,1.5,0,0,0,0,1,0,0,0,0,1824
"foylead01",2007,31,7,"GSW","NBA","C",48,475,-4.4,-4.4,0,0,0,0.09,0.91,0,0,0,42.75,432.25
"foylead01",2008,32,8,"ORL","NBA","C",82,774,0.4,-6.7,0,0,0,0.01,0.99,0,0,0,7.74,766.26
"foylead01",2009,33,9,"TOT","NBA","C",10,62,-2.6,-3.7,0,0,0,0,1,0,0,0,0,62
"foylead01",2009,33,9,"ORL","NBA","C",9,59,-1.8,-9.7,0,0,0,0,1,0,0,0,0,59
"foylead01",2009,33,9,"MEM","NBA","C",1,3,-14.3,-8.5,0,0,0,0,1,0,0,0,0,3
"griffad01",2001,26,1,"BOS","NBA","SF",44,377,-4,-1.7,0.01,0.71,0.28,0,0,3.77,267.67,105.56,0,0
"griffad01",2002,27,2,"DAL","NBA","SG",58,1383,6.2,2.4,0,0.73,0.25,0.02,0,0,1009.59,345.75,27.66,0
"griffad01",2003,28,3,"DAL","NBA","SG",74,1373,7.9,-0.6,0,0.72,0.27,0.01,0,0,988.56,370.71,13.73,0
"griffad01",2004,29,4,"HOU","NBA","SG",19,133,-11.1,-13.5,0,0.4,0.56,0.04,0,0,53.2,74.48,5.32,0
"griffad01",2005,30,5,"CHI","NBA","SF",69,667,4.3,3.6,0,0.08,0.84,0.08,0,0,53.36,560.28,53.36,0
"griffad01",2006,31,6,"DAL","NBA","SG",52,1245,9,3.5,0.02,0.85,0.13,0,0,24.9,1058.25,161.85,0,0
"griffad01",2007,32,7,"CHI","NBA","SF",54,585,6.7,1.5,0,0.2,0.78,0.01,0,0,117,456.3,5.85,0
"griffad01",2008,33,8,"TOT","NBA","SG-SF",35,307,1.7,8.2,0.13,0.58,0.29,0,0,39.91,178.06,89.03,0,0
"griffad01",2008,33,8,"CHI","NBA","SG",22,222,3.4,6.8,0.18,0.64,0.18,0,0,39.96,142.08,39.96,0,0
"griffad01",2008,33,8,"SEA","NBA","SF",13,85,-2.3,6.9,0,0.43,0.57,0,0,0,36.55,48.45,0,0
"harrial01",2001,20,1,"IND","NBA","PF",78,1892,0.1,0.3,0,0.01,0.7,0.28,0.01,0,18.92,1324.4,529.76,18.92
"harrial01",2002,21,2,"IND","NBA","PF",44,1313,-1.6,-2.4,0,0,0.41,0.58,0.01,0,0,538.33,761.54,13.13
"harrial01",2003,22,3,"IND","NBA","SF",82,2467,2.9,-1.8,0,0.05,0.57,0.38,0,0,123.35,1406.19,937.46,0
"harrial01",2004,23,4,"IND","NBA","PF",79,2441,2.3,-11.4,0,0,0.43,0.57,0,0,0,1049.63,1391.37,0
"harrial01",2005,24,5,"ATL","NBA","SF",66,2550,-10.9,-0.7,0,0,0.61,0.39,0.01,0,0,1555.5,994.5,25.5
"harrial01",2006,25,6,"ATL","NBA","PF",76,2782,-6.6,-4,0,0,0.2,0.73,0.07,0,0,556.4,2030.86,194.74
"harrial01",2007,26,7,"TOT","NBA","PF",78,2563,-1.5,0.4,0,0,0.12,0.65,0.24,0,0,307.56,1665.95,615.12
"harrial01",2007,26,7,"IND","NBA","PF",36,1208,-3.4,-0.5,0,0,0.25,0.63,0.12,0,0,302,761.04,144.96
"harrial01",2007,26,7,"GSW","NBA","PF",42,1355,0.1,0.9,0,0,0,0.66,0.34,0,0,0,894.3,460.7
"harrial01",2008,27,8,"GSW","NBA","C",81,2190,2.5,1.2,0,0,0,0.47,0.53,0,0,0,1029.3,1160.7
"harrial01",2009,28,9,"TOT","NBA","PF",73,2546,-1.4,2.9,0,0,0.1,0.83,0.07,0,0,254.6,2113.18,178.22
"harrial01",2009,28,9,"GSW","NBA","PF",5,166,-6.1,-2.2,0,0,0.21,0.79,0.01,0,0,34.86,131.14,1.66
"harrial01",2009,28,9,"NYK","NBA","PF",68,2380,-1.1,4.2,0,0,0.09,0.84,0.07,0,0,214.2,1999.2,166.6
"harrial01",2010,29,10,"NYK","NBA","PF",72,2195,-4.8,-2.1,0,0,0.27,0.6,0.14,0,0,592.65,1317,307.3
"harrial01",2011,30,11,"DEN","NBA","PF",73,1665,4.3,-1.4,0,0,0.01,0.89,0.11,0,0,16.65,1481.85,183.15
"harrial01",2012,31,12,"DEN","NBA","PF",64,1761,5,3.8,0,0,0,0.81,0.19,0,0,0,1426.41,334.59
"harrial01",2013,32,13,"ORL","NBA","C",10,119,-17.2,-9.7,0,0,0,0.21,0.79,0,0,0,24.99,94.01
"harrial01",2014,33,14,"WAS","NBA","PF",34,511,3.8,3,0,0,0,0.94,0.06,0,0,0,480.34,30.66
"jeffeal01",2005,20,1,"BOS","NBA","PF",71,1051,-1.3,-3.1,0,0,0,0.45,0.55,0,0,0,472.95,578.05
"jeffeal01",2006,21,2,"BOS","NBA","PF",59,1062,-5.2,-4.8,0,0,0,0.43,0.57,0,0,0,456.66,605.34
"jeffeal01",2007,22,3,"BOS","NBA","C",69,2319,-3.7,0.5,0,0,0,0.04,0.96,0,0,0,92.76,2226.24
"jeffeal01",2008,23,4,"MIN","NBA","C",82,2919,-10.4,-10.9,0,0,0,0,1,0,0,0,0,2919
"jeffeal01",2009,24,5,"MIN","NBA","C",50,1836,-3.3,4.4,0,0,0,0.06,0.94,0,0,0,110.16,1725.84
"jeffeal01",2010,25,6,"MIN","NBA","C",76,2463,-10.8,-2.1,0,0,0,0.32,0.68,0,0,0,788.16,1674.84
"jeffeal01",2011,26,7,"UTA","NBA","C",82,2940,-3.2,-4.6,0,0,0,0.02,0.98,0,0,0,58.8,2881.2
"jeffeal01",2012,27,8,"UTA","NBA","C",61,2075,3.8,8.8,0,0,0,0,1,0,0,0,0,2075
"jeffeal01",2013,28,9,"UTA","NBA","C",78,2578,-3.6,-9.4,0,0,0,0,1,0,0,0,0,2578
"jeffeal01",2014,29,10,"CHA","NBA","C",73,2553,0.4,1.6,0,0,0,0.31,0.69,0,0,0,791.43,1761.57
"jeffeal01",2015,30,11,"CHO","NBA","C",65,1992,-4,-1.1,0,0,0,0.44,0.56,0,0,0,876.48,1115.52
"jeffeal01",2016,31,12,"CHO","NBA","C",47,1096,2.8,-0.1,0,0,0,0.51,0.49,0,0,0,558.96,537.04
"jeffeal01",2017,32,13,"IND","NBA","C",66,931,-5.3,-6.6,0,0,0,0,1,0,0,0,0,931
"jeffeal01",2018,33,14,"IND","NBA","C",36,484,-1.6,-3.7,0,0,0,0,1,0,0,0,0,484
"hendeal01",2001,28,1,"ATL","NBA","PF",73,1810,-7.9,-3.7,0,0,0,0.79,0.21,0,0,0,1429.9,380.1
"hendeal01",2002,29,2,"ATL","NBA","PF",26,422,2.2,7.9,0,0,0,0.32,0.69,0,0,0,135.04,291.18
"hendeal01",2003,30,3,"ATL","NBA","C",82,1494,-7.1,-5.4,0,0,0,0.43,0.57,0,0,0,642.42,851.58
"hendeal01",2004,31,4,"ATL","NBA","PF",6,68,-21.6,-17.1,0,0,0,0.82,0.18,0,0,0,55.76,12.24
"hendeal01",2005,32,5,"DAL","NBA","PF",78,1203,-5.1,-16.1,0,0,0.16,0.78,0.07,0,0,192.48,938.34,84.21
"hendeal01",2006,33,6,"CLE","NBA","C",51,531,-3.5,-7,0,0,0,0.35,0.65,0,0,0,185.85,345.15
"hendeal01",2007,34,7,"PHI","NBA","PF",38,418,0,3.6,0,0,0,0.7,0.3,0,0,0,292.6,125.4
"radojal01",2005,28,1,"UTA","NBA","C",12,128,-6.6,-1.5,0,0,0,0,1,0,0,0,0,128
"garcial01",2004,23,1,"SAS","NBA","SG",2,13,19.7,11.6,0.57,0.43,0,0,0,7.41,5.59,0,0,0
"garcial01",2005,24,2,"NOH","NBA","SG",8,146,-15.6,-7.6,0.13,0.86,0.01,0,0,18.98,125.56,1.46,0,0
"houstal01",2001,29,1,"NYK","NBA","SG",78,2858,1.9,-4.4,0.12,0.81,0.07,0,0,342.96,2314.98,200.06,0,0
"houstal01",2002,30,2,"NYK","NBA","SG",77,2914,-6.3,-8.1,0,0.99,0.01,0,0,0,2884.86,29.14,0,0
"houstal01",2003,31,3,"NYK","NBA","SG",82,3108,-1.1,2.7,0.03,0.97,0,0,0,93.24,3014.76,0,0,0
"houstal01",2004,32,4,"NYK","NBA","SG",50,1799,-0.9,1.3,0.01,0.96,0.03,0,0,17.99,1727.04,53.97,0,0
"houstal01",2005,33,5,"NYK","NBA","SG",20,532,1.3,4.8,0,0.83,0.17,0,0,0,441.56,90.44,0,0
"iversal01",2001,25,1,"PHI","NBA","SG",71,2979,5.7,4.1,0.39,0.6,0.01,0,0,1161.81,1787.4,29.79,0,0
"iversal01",2002,26,2,"PHI","NBA","SG",60,2622,5.2,10,0.16,0.77,0.07,0,0,419.52,2018.94,183.54,0,0
"iversal01",2003,27,3,"PHI","NBA","SG",82,3485,2.3,-1.2,0.16,0.79,0.05,0,0,557.6,2753.15,174.25,0,0
"iversal01",2004,28,4,"PHI","NBA","SG",48,2040,-2.1,1.1,0.28,0.72,0,0,0,571.2,1468.8,0,0,0
"iversal01",2005,29,5,"PHI","NBA","PG",75,3174,0.1,4.6,1,0,0,0,0,3174,0,0,0,0
"iversal01",2006,30,6,"PHI","NBA","PG",72,3103,-0.2,8.6,1,0,0,0,0,3103,0,0,0,0
"iversal01",2007,31,7,"TOT","NBA","SG-PG",65,2761,0.2,1.2,0.5,0.5,0,0,0,1380.5,1380.5,0,0,0
"iversal01",2007,31,7,"PHI","NBA","PG",15,640,-3.8,-0.7,1,0,0,0,0,640,0,0,0,0
"iversal01",2007,31,7,"DEN","NBA","SG",50,2121,1.3,-1.1,0.35,0.65,0,0,0,742.35,1378.65,0,0,0
"iversal01",2008,32,8,"DEN","NBA","SG",82,3424,4.9,9.8,0.44,0.56,0,0,0,1506.56,1917.44,0,0,0
"iversal01",2009,33,9,"TOT","NBA","PG-SG",57,2093,-1.7,-4.5,0.96,0.04,0,0,0,2009.28,83.72,0,0,0
"iversal01",2009,33,9,"DEN","NBA","SG",3,123,2.5,-1.2,0.36,0.64,0,0,0,44.28,78.72,0,0,0
"iversal01",2009,33,9,"DET","NBA","PG",54,1970,-2,-3.1,1,0,0,0,0,1970,0,0,0,0
"iversal01",2010,34,10,"TOT","NBA","SG-PG",28,865,-3.8,-0.8,0.33,0.67,0,0,0,285.45,579.55,0,0,0
"iversal01",2010,34,10,"MEM","NBA","PG",3,67,-14.9,-13.5,1,0,0,0,0,67,0,0,0,0
"iversal01",2010,34,10,"PHI","NBA","SG",25,798,-2.8,2.4,0.27,0.73,0,0,0,215.46,582.54,0,0,0
"mournal01",2001,30,1,"MIA","NBA","C",13,306,5,2.7,0,0,0,0,1,0,0,0,0,306
"mournal01",2002,31,2,"MIA","NBA","C",75,2455,0.9,7.1,0,0,0,0.06,0.94,0,0,0,147.3,2307.7
"mournal01",2004,33,3,"NJN","NBA","C",12,215,-5.3,-8.6,0,0,0,0.28,0.72,0,0,0,60.2,154.8
"mournal01",2005,34,4,"TOT","NBA","C-PF",37,702,-3.1,-6.5,0,0,0,0.54,0.46,0,0,0,379.08,322.92
"mournal01",2005,34,4,"NJN","NBA","PF",18,457,-5.2,-4,0,0,0,0.7,0.3,0,0,0,319.9,137.1
"mournal01",2005,34,4,"MIA","NBA","C",19,245,0.8,-6.9,0,0,0,0.26,0.75,0,0,0,63.7,183.75
"mournal01",2006,35,5,"MIA","NBA","C",65,1302,10,8.5,0,0,0,0.01,0.99,0,0,0,13.02,1288.98
"mournal01",2007,36,6,"MIA","NBA","C",77,1572,-2,-2.1,0,0,0,0.02,0.98,0,0,0,31.44,1540.56
"mournal01",2008,37,7,"MIA","NBA","C",25,389,-3.9,6.2,0,0,0,0.14,0.86,0,0,0,54.46,334.54
"stoudam01",2003,20,1,"PHO","NBA","PF",82,2570,-0.8,-5.5,0,0,0.01,0.81,0.18,0,0,25.7,2081.7,462.6
"stoudam01",2004,21,2,"PHO","NBA","PF",55,2025,-3.4,1.5,0,0,0.05,0.61,0.35,0,0,101.25,1235.25,708.75
"stoudam01",2005,22,3,"PHO","NBA","C",80,2889,9.9,9,0,0,0,0.16,0.84,0,0,0,462.24,2426.76
"stoudam01",2006,23,4,"PHO","NBA","C",3,50,-1.9,-8,0,0,0,0.07,0.93,0,0,0,3.5,46.5
"stoudam01",2007,24,5,"PHO","NBA","C",82,2689,8.1,1,0,0,0,0.02,0.99,0,0,0,53.78,2662.11
"stoudam01",2008,25,6,"PHO","NBA","C",79,2677,7.7,6.2,0,0,0,0.22,0.78,0,0,0,588.94,2088.06
"stoudam01",2009,26,7,"PHO","NBA","PF",53,1948,2.2,0.2,0,0,0,0.64,0.36,0,0,0,1246.72,701.28
"stoudam01",2010,27,8,"PHO","NBA","PF",82,2838,5.1,-1.5,0,0,0,0.83,0.17,0,0,0,2355.54,482.46
"stoudam01",2011,28,9,"NYK","NBA","C",78,2870,1,-0.4,0,0,0,0.32,0.68,0,0,0,918.4,1951.6
"stoudam01",2012,29,10,"NYK","NBA","PF",47,1543,-2.1,-10.5,0,0,0.01,0.84,0.15,0,0,15.43,1296.12,231.45
"stoudam01",2013,30,11,"NYK","NBA","PF",29,682,2.2,-2.8,0,0,0,0.52,0.48,0,0,0,354.64,327.36
"stoudam01",2014,31,12,"NYK","NBA","C",65,1466,-6.5,-8.5,0,0,0,0.58,0.42,0,0,0,850.28,615.72
"stoudam01",2015,32,13,"TOT","NBA","PF",59,1245,-3.7,-0.3,0,0,0,0.58,0.42,0,0,0,722.1,522.9
"stoudam01",2015,32,13,"NYK","NBA","PF",36,865,-3.2,9,0,0,0,0.48,0.52,0,0,0,415.2,449.8
"stoudam01",2015,32,13,"DAL","NBA","PF",23,380,-4.7,-8.6,0,0,0,0.8,0.2,0,0,0,304,76
"stoudam01",2016,33,14,"MIA","NBA","C",52,762,0.7,-1.6,0,0,0,0,1,0,0,0,0,762
"varejan01",2005,22,1,"CLE","NBA","PF",54,863,5.1,5.4,0,0,0,0.83,0.17,0,0,0,716.29,146.71
"varejan01",2006,23,2,"CLE","NBA","C",48,760,8.4,7.2,0,0,0,0.18,0.82,0,0,0,136.8,623.2
"varejan01",2007,24,3,"CLE","NBA","C",81,1932,8.2,7.3,0,0,0,0.31,0.69,0,0,0,598.92,1333.08
