SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
2012-13,Purdue,Big Ten,34,27,786,23.1,0.531,0.495,0,0.41,331,11.6,19.5,15.3,6.2,0.9,8.7,14,25.3,1.6,1.2,2.9,0.147,1,4.6,5.6,A.J. Hammons,aj-hammons-1
2013-14,Purdue,Big Ten,31,25,775,21.6,0.565,0.513,0.022,0.632,314,10,22.7,16.2,4.1,1,13.3,20.8,23.7,0.8,1.6,2.4,0.124,-1.5,7,5.4,A.J. Hammons,aj-hammons-1
2014-15,Purdue,Big Ten,34,23,827,26,0.569,0.54,0.024,0.467,372,12.2,19.7,16.1,9.1,1.3,12.3,17,26.9,1.8,1.8,3.6,0.174,1.2,7.7,8.9,A.J. Hammons,aj-hammons-1
2015-16,Purdue,Big Ten,33,20,813,31,0.623,0.601,0.033,0.378,431,11.5,24.9,18.7,10.5,0.7,10.4,14.1,28.6,2.7,2.2,4.9,0.241,3.9,8,11.9,A.J. Hammons,aj-hammons-1
Career,Purdue,,132,95,3201,25.5,0.574,0.541,0.02,0.46,1449,11.3,21.7,16.6,7.5,0.9,11.2,16.4,26.2,7,6.8,13.8,0.173,1.1,6.8,8,A.J. Hammons,aj-hammons-1
2006-07,UConn,Big East,31,23,742,,0.479,0.434,0.344,0.391,,,,,,,,17.2,,0.3,2.1,2.3,0.127,,,,A.J. Price,aj-price-1
2007-08,UConn,Big East,33,33,1060,,0.551,0.508,0.385,0.388,,,,,,,,15.3,,2.1,1.9,4,0.15,,,,A.J. Price,aj-price-1
2008-09,UConn,Big East,35,35,1112,,0.538,0.506,0.489,0.309,,,,5.8,28.2,,0,16.4,25.1,2.1,1.9,4,0.144,,,,A.J. Price,aj-price-1
Career,UConn,,99,91,2914,,0.528,0.489,0.417,0.357,,,,5.8,28.2,,0,16.2,25.1,4.4,5.9,10.3,0.142,,,,A.J. Price,aj-price-1
2003-04,Oregon,Pac-10,21,18,541,,0.523,0.484,0.613,0.266,,,,,,,,26,,0.5,0.2,0.7,0.054,,,,Aaron Brooks,aaron-brooks-1
2004-05,Oregon,Pac-10,27,26,893,,0.575,0.517,0.476,0.374,,,,6,29.1,,0.3,20.1,24.5,2.2,0.6,2.8,0.127,,,,Aaron Brooks,aaron-brooks-1
2005-06,Oregon,Pac-10,32,31,1036,,0.533,0.486,0.473,0.311,,,,6.6,26.3,,0.4,19.4,20.5,1.4,1.5,2.9,0.11,,,,Aaron Brooks,aaron-brooks-1
2006-07,Oregon,Pac-10,35,35,1289,,0.589,0.546,0.428,0.294,,,,7,24,,0.3,14.4,24.4,3.6,2.2,5.7,0.178,,,,Aaron Brooks,aaron-brooks-1
Career,Oregon,,115,110,3759,,0.565,0.518,0.471,0.315,,,,6.6,26.2,,0.3,18.5,23.2,7.7,4.5,12.2,0.129,,,,Aaron Brooks,aaron-brooks-1
2013-14,Arizona,Pac-12,38,38,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6,Aaron Gordon,aaron-gordon-1
Career,Arizona,,38,38,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6,Aaron Gordon,aaron-gordon-1
2003-04,Pitt,Big East,15,0,88,,0.557,0.55,0,0.35,,,,15,13.9,,2.5,11.4,16,0.1,0.3,0.4,0.193,,,,Aaron Gray,aaron-gray-1
2004-05,Pitt,Big East,29,0,336,,0.59,0.576,0,0.541,,,,14.6,12.3,,3.5,21.9,20.7,0.8,0.9,1.7,0.204,,,,Aaron Gray,aaron-gray-1
2005-06,Pitt,Big East,33,33,920,,0.557,0.526,0,0.576,,,,21.6,14.6,,3.8,17.6,27.3,2.2,3.9,6.1,0.265,,,,Aaron Gray,aaron-gray-1
2006-07,Pitt,Big East,36,35,1016,,0.567,0.565,0,0.46,,,,,,,,11.1,,2.5,4.2,6.8,0.266,,,,Aaron Gray,aaron-gray-1
Career,Pitt,,113,68,2360,,0.565,0.55,0,0.513,,,,19.4,14,,3.7,15.2,24.9,5.6,9.4,15,0.254,,,,Aaron Gray,aaron-gray-1
2013-14,Kentucky,SEC,40,40,1303,17.1,0.555,0.499,0.423,0.428,505,2.3,7.8,5.2,11.6,2,0.9,11.6,21.4,3.3,1.7,5.1,0.155,5.4,1.5,6.9,Aaron Harrison,aaron-harrison-1
2014-15,Kentucky,SEC,39,38,1004,17.9,0.514,0.474,0.505,0.273,382,1.9,9.2,5.8,11.1,2.7,0.6,7.7,23.6,2.5,2.6,5.2,0.205,5.2,3.6,8.8,Aaron Harrison,aaron-harrison-1
Career,Kentucky,,79,78,2307,17.4,0.536,0.487,0.462,0.355,888,2.1,8.4,5.4,11.4,2.3,0.8,9.9,22.4,5.9,4.3,10.2,0.177,5.3,2.4,7.7,Aaron Harrison,aaron-harrison-1
2015-16,UCLA,Pac-12,32,32,1013,11.4,0.5,0.462,0.322,0.304,351,2,7.8,5,21.1,2.5,0.8,21.8,19.9,0.5,0.9,1.4,0.054,0.9,1.9,2.7,Aaron Holiday,aaron-holiday-1
2016-17,UCLA,Pac-12,36,0,952,18.8,0.61,0.571,0.417,0.359,462,1.5,9.5,5.9,24.3,2.2,0.6,19.4,22.5,2.5,1.1,3.6,0.15,4.4,0.6,5,Aaron Holiday,aaron-holiday-1
2017-18,UCLA,Pac-12,33,33,1244,21.1,0.609,0.557,0.446,0.417,686,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,3.7,1.2,4.9,0.157,6.4,-0.1,6.2,Aaron Holiday,aaron-holiday-1
Career,UCLA,,101,65,3209,17.4,0.58,0.535,0.404,0.37,1499,1.7,8.7,5.4,25.5,2.2,0.7,19.6,23.3,6.7,3.2,9.8,0.122,4.1,0.7,4.8,Aaron Holiday,aaron-holiday-1
2005-06,Duquesne,A-10,27,21,836,,0.511,0.472,0.306,0.25,,,,5.9,22.2,,0.2,23.8,14.3,0.5,0,0.5,0.024,,,,Aaron Jackson,aaron-jackson-1
2006-07,Duquesne,A-10,29,23,912,,0.589,0.57,0.376,0.3,,,,,,,,19.1,,1.6,0.3,1.9,0.085,,,,Aaron Jackson,aaron-jackson-1
2007-08,Duquesne,A-10,30,23,793,,0.606,0.58,0.259,0.316,,,,8,22.8,,0.2,19.3,15.4,1.6,1.2,2.8,0.142,,,,Aaron Jackson,aaron-jackson-1
2008-09,Duquesne,A-10,34,34,1249,,0.654,0.611,0.281,0.455,,,,8.7,31.4,,0.2,17,23.8,5.1,1.1,6.1,0.196,,,,Aaron Jackson,aaron-jackson-1
Career,Duquesne,,120,101,3790,,0.608,0.573,0.303,0.359,,,,7.7,26.4,,0.2,19,18.7,8.8,2.6,11.4,0.12,,,,Aaron Jackson,aaron-jackson-1
1991-92,Temple,A-10,28,28,1011,,0.548,0.503,0.437,0.38,,,,,,,,11.5,,,,,,,,,Aaron McKie,aaron-mckie-1
