SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2012-13,Purdue,Big Ten,34,27,786,10.9,21.9,0.495,10.9,21.9,0.495,0,0,,6.1,9,0.681,15.8,1.6,0.9,5.2,4.3,5.3,27.8,106.1,97.1,A.J. Hammons,aj-hammons-1
2013-14,Purdue,Big Ten,31,25,775,8.9,17.3,0.513,8.9,17,0.525,0,0.4,0,7.7,11,0.701,17.5,1.1,1,7.3,5.9,6.9,25.5,101.8,96.6,A.J. Hammons,aj-hammons-1
2014-15,Purdue,Big Ten,34,23,827,11.7,21.7,0.54,11.7,21.1,0.553,0,0.5,0,6.8,10.1,0.669,16.8,2.3,1.3,7.1,5.4,6.5,30.2,107.3,92.7,A.J. Hammons,aj-hammons-1
2015-16,Purdue,Big Ten,33,20,813,14.4,24.4,0.592,14,23.6,0.594,0.4,0.8,0.545,6.5,9.2,0.709,19.6,2.7,0.7,6.1,4.7,5.7,35.9,117.7,88.7,A.J. Hammons,aj-hammons-1
Career,Purdue,,132,95,3201,11.5,21.4,0.539,11.4,20.9,0.544,0.1,0.4,0.261,6.8,9.8,0.69,17.5,2,0.9,6.4,5.1,6.1,29.9,108.6,93.7,A.J. Hammons,aj-hammons-1
2013-14,Arizona,Pac-12,38,38,1187,9.9,20.1,0.495,9.1,17.7,0.513,0.8,2.4,0.356,4,9.5,0.422,15.9,3.9,1.8,2.1,2.9,4.7,24.7,108.9,88.6,Aaron Gordon,aaron-gordon-1
Career,Arizona,,38,38,1187,9.9,20.1,0.495,9.1,17.7,0.513,0.8,2.4,0.356,4,9.5,0.422,15.9,3.9,1.8,2.1,2.9,4.7,24.7,108.9,88.6,Aaron Gordon,aaron-gordon-1
2013-14,Kentucky,SEC,40,40,1303,8.1,19.1,0.423,5.2,11,0.473,2.9,8.1,0.356,6.5,8.2,0.79,5.5,3.4,2,0.6,3,4,25.6,119.6,104.3,Aaron Harrison,aaron-harrison-1
2014-15,Kentucky,SEC,39,38,1004,9.1,23.1,0.395,5.4,11.4,0.475,3.7,11.7,0.316,4.9,6.3,0.782,6.2,3.4,2.7,0.4,2.2,3.8,26.9,115.1,88.3,Aaron Harrison,aaron-harrison-1
Career,Kentucky,,79,78,2307,8.5,20.8,0.41,5.3,11.2,0.474,3.2,9.6,0.335,5.8,7.4,0.787,5.8,3.4,2.3,0.5,2.7,3.9,26.1,117.6,97.5,Aaron Harrison,aaron-harrison-1
2015-16,UCLA,Pac-12,32,32,1013,6.3,15.9,0.394,4.1,10.8,0.383,2.2,5.1,0.419,3.5,4.9,0.727,5.3,7,2.5,0.4,5.1,5.7,18.3,96.1,108.1,Aaron Holiday,aaron-holiday-1
2016-17,UCLA,Pac-12,36,0,952,8.5,17.5,0.485,5.5,10.2,0.539,3,7.3,0.411,5,6.3,0.793,5.8,8.9,2.2,0.3,4.9,4.6,25,115.2,104.9,Aaron Holiday,aaron-holiday-1
2017-18,UCLA,Pac-12,33,33,1244,9.5,20.7,0.461,5.6,11.5,0.486,4,9.2,0.429,7.2,8.6,0.828,5.4,8.6,1.9,0.4,5.6,3.9,30.2,115.4,108.1,Aaron Holiday,aaron-holiday-1
Career,UCLA,,101,65,3209,8.2,18.2,0.45,5.1,10.9,0.469,3.1,7.4,0.422,5.4,6.7,0.795,5.5,8.2,2.2,0.4,5.2,4.7,24.9,110.1,107.1,Aaron Holiday,aaron-holiday-1
2011-12,Northern Illinois,MAC,31,29,750,9.6,28.3,0.337,6.6,18.4,0.358,3,9.9,0.299,5.1,7.4,0.682,10.9,2.8,1.8,1.9,7.6,7.2,27.1,80.7,106.3,Abdel Nader,abdel-nader-1
2012-13,Northern Illinois,MAC,19,18,483,11.8,34.9,0.337,8.3,22.5,0.371,3.4,12.4,0.277,5.8,7.5,0.772,14.2,2.2,3.3,1.3,8.1,7.1,32.8,81.6,95.3,Abdel Nader,abdel-nader-1
2014-15,Iowa State,Big 12,32,0,524,7.5,18.6,0.406,5.9,11,0.535,1.6,7.5,0.217,3.6,4.7,0.767,10.2,2.5,1.3,1.7,4,5.5,20.3,94,100.5,Abdel Nader,abdel-nader-1
2015-16,Iowa State,Big 12,35,35,1088,8.3,17.3,0.478,5.6,10.1,0.553,2.7,7.2,0.371,4,5.4,0.736,8.9,2.8,1.9,1.2,4.1,5,23.2,105.4,104.2,Abdel Nader,abdel-nader-1
Career,Overall,,117,82,2845,9,23,0.391,6.3,14.3,0.443,2.7,8.8,0.305,4.5,6.1,0.731,10.5,2.6,2,1.5,5.6,6,25.2,90.9,102.6,Abdel Nader,abdel-nader-1
2011-12,Memphis,CUSA,19,8,455,8.9,18.3,0.486,6.9,13.5,0.515,2,4.8,0.405,2.2,3.1,0.708,8,2,1.4,1.8,3.1,3.4,22,105.3,98.2,Adonis Thomas,adonis-thomas-1
2012-13,Memphis,CUSA,36,36,1056,8.4,20.9,0.405,7,16,0.439,1.4,4.8,0.292,4.6,6.2,0.752,8.8,3.8,1.3,1.4,3.2,2.7,22.9,104.1,98.9,Adonis Thomas,adonis-thomas-1
Career,Memphis,,55,44,1511,8.6,20.1,0.426,7,15.3,0.458,1.6,4.8,0.325,3.9,5.3,0.745,8.5,3.2,1.3,1.5,3.2,2.9,22.7,104.4,98.7,Adonis Thomas,adonis-thomas-1
2010-11,Michigan State,Big Ten,34,6,306,6.7,14.3,0.472,6.7,14.1,0.479,0,0.2,0,3.4,6.9,0.486,15.9,1,1.8,5.5,4.2,8.1,16.8,92.5,95.2,Adreian Payne,adreian-payne-1
2011-12,Michigan State,Big Ten,37,36,661,9.1,16.1,0.566,9,15.9,0.567,0.1,0.2,0.5,5.8,8.3,0.697,14.6,1.1,2.3,3.6,3.6,7.8,24.1,115.3,88.5,Adreian Payne,adreian-payne-1
2012-13,Michigan State,Big Ten,36,24,922,9.2,16.8,0.546,8.1,14,0.579,1.1,2.8,0.381,6,7,0.848,18.3,1.8,1.8,3.1,4.3,6.2,25.4,117.5,87.7,Adreian Payne,adreian-payne-1
2013-14,Michigan State,Big Ten,31,28,870,12.4,24.7,0.503,9.3,17.4,0.536,3.1,7.2,0.423,7.6,9.6,0.79,15.7,2.9,1,2,4.4,5.6,35.5,116.5,97.6,Adreian Payne,adreian-payne-1
Career,Michigan State,,138,94,2759,9.9,18.9,0.526,8.6,15.6,0.551,1.4,3.3,0.409,6.1,8.1,0.755,16.3,1.9,1.7,3.1,4.2,6.6,27.3,114.3,91.9,Adreian Payne,adreian-payne-1
2011-12,UCSB,Big West,30,20,514,9.5,18.7,0.51,9.5,18.7,0.51,0,0,,6,10.1,0.595,23.5,1.8,1.8,4.6,2.4,8,25.1,122.2,95.4,Alan Williams,alan-williams-2
2012-13,UCSB,Big West,28,28,793,13.7,29.1,0.469,13.7,29.1,0.469,0,0,,10.3,14.2,0.724,23.6,1.9,2.3,5,5.2,7.1,37.6,106.3,93.6,Alan Williams,alan-williams-2
2013-14,UCSB,Big West,28,28,872,16.3,30.5,0.533,16.3,30.5,0.533,0,0,,10.8,15.7,0.685,23.4,2.4,2.4,4.9,4.3,6.1,43.3,116.5,91,Alan Williams,alan-williams-2
2014-15,UCSB,Big West,26,26,847,12,26.3,0.458,12,26,0.462,0,0.2,0,9.7,12.6,0.768,23.2,3.4,2.3,3.5,3.8,5.3,33.8,111.1,89.7,Alan Williams,alan-williams-2
Career,UCSB,,112,102,3026,13.3,26.9,0.492,13.3,26.9,0.493,0,0.1,0,9.5,13.5,0.706,23.4,2.4,2.2,4.5,4.1,6.4,36,112.8,92.1,Alan Williams,alan-williams-2
2009-10,Colorado,Big 12,30,30,907,11,20.4,0.538,9.8,17,0.575,1.2,3.4,0.352,9.5,12.3,0.772,9.6,3.4,2.2,0.8,3.7,4.7,32.6,120.9,108.1,Alec Burks,alec-burks-1
2010-11,Colorado,Big 12,38,37,1193,12.2,25.9,0.469,10.8,21.3,0.508,1.4,4.7,0.292,12.1,14.6,0.825,12,5.4,2,0.6,4.8,4.3,37.8,120.2,106,Alec Burks,alec-burks-1
Career,Colorado,,68,67,2100,11.7,23.5,0.495,10.4,19.4,0.533,1.3,4.1,0.313,11,13.6,0.804,10.9,4.5,2.1,0.7,4.3,4.5,35.6,120.5,106.9,Alec Burks,alec-burks-1
2013-14,Valparaiso,Horizon,34,34,1006,9.2,18.8,0.49,5.8,9.9,0.588,3.4,8.9,0.383,4.1,5.3,0.773,9.8,2.9,1.7,0.3,3.9,4.5,26,114.4,102.6,Alec Peters,alec-peters-1
2014-15,Valparaiso,Horizon,34,34,1039,11.8,24.1,0.489,6.8,13.3,0.507,5,10.7,0.466,5.9,7.1,0.829,13.7,2.5,1.4,0.7,3,4,34.4,128.4,94.2,Alec Peters,alec-peters-1
2015-16,Valparaiso,Horizon,37,37,1186,11,21.7,0.505,6.5,11.5,0.562,4.5,10.2,0.44,7,8.2,0.85,15.3,2.4,1.3,0.5,3.1,3.8,33.4,131.5,92.4,Alec Peters,alec-peters-1
2016-17,Valparaiso,Horizon,29,29,1019,12.2,26.3,0.466,9,17.3,0.519,3.3,9,0.363,9.6,10.9,0.887,16.4,3.6,1.3,0.6,4,3.6,37.4,121,97.2,Alec Peters,alec-peters-1
Career,Valparaiso,,134,134,4250,11.1,22.7,0.487,7,13,0.539,4,9.7,0.416,6.7,7.9,0.846,13.9,2.9,1.4,0.5,3.5,4,32.9,124.2,96.4,Alec Peters,alec-peters-1
