SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2012-13,Purdue,Big Ten,34,27,786,7.1,14.4,0.495,7.1,14.4,0.495,0,0,,4,5.9,0.681,10.4,1.1,0.6,3.4,2.8,3.5,18.3,A.J. Hammons,aj-hammons-1
2013-14,Purdue,Big Ten,31,25,775,6,11.8,0.513,6,11.5,0.525,0,0.3,0,5.2,7.4,0.701,11.9,0.8,0.7,5,4,4.7,17.3,A.J. Hammons,aj-hammons-1
2014-15,Purdue,Big Ten,34,23,827,7.6,14.1,0.54,7.6,13.7,0.553,0,0.3,0,4.4,6.6,0.669,10.9,1.5,0.8,4.6,3.5,4.2,19.6,A.J. Hammons,aj-hammons-1
2015-16,Purdue,Big Ten,33,20,813,9.8,16.5,0.592,9.5,16,0.594,0.3,0.5,0.545,4.4,6.2,0.709,13.3,1.8,0.4,4.1,3.2,3.8,24.3,A.J. Hammons,aj-hammons-1
Career,Purdue,,132,95,3201,7.7,14.2,0.539,7.6,13.9,0.544,0.1,0.3,0.261,4.5,6.5,0.69,11.6,1.3,0.6,4.3,3.4,4.1,19.9,A.J. Hammons,aj-hammons-1
2006-07,UConn,Big East,31,23,742,5.3,13.8,0.387,4,9.1,0.446,1.3,4.7,0.273,3.7,5.4,0.69,5,6.1,2,0.1,3.4,2.1,15.7,A.J. Price,aj-price-1
2007-08,UConn,Big East,33,33,1060,6,13.8,0.437,4.1,8.5,0.48,2,5.3,0.369,4,5.4,0.746,4.4,7.2,1.6,0.1,2.9,2,18,A.J. Price,aj-price-1
2008-09,UConn,Big East,35,35,1112,6.1,15,0.408,3.2,7.7,0.413,2.9,7.3,0.402,3.3,4.6,0.721,4.4,5.9,0.9,0,3.4,1.6,18.5,A.J. Price,aj-price-1
Career,UConn,,99,91,2914,5.9,14.3,0.413,3.7,8.3,0.447,2.2,5.9,0.365,3.7,5.1,0.722,4.6,6.4,1.4,0.1,3.2,1.9,17.6,A.J. Price,aj-price-1
2003-04,Oregon,Pac-10,21,18,541,3.4,9.2,0.371,1.3,3.5,0.375,2.1,5.6,0.368,1.9,2.4,0.788,3.7,4.1,1.3,0.1,3.6,3.6,10.8,Aaron Brooks,aaron-brooks-1
2004-05,Oregon,Pac-10,27,26,893,5.6,13.2,0.429,3.3,6.9,0.481,2.3,6.3,0.371,4.2,4.9,0.855,3.9,5.6,1.2,0.2,3.9,2.6,17.8,Aaron Brooks,aaron-brooks-1
2005-06,Oregon,Pac-10,32,31,1036,4.4,10.9,0.406,2.7,5.8,0.47,1.7,5.2,0.336,2.7,3.4,0.807,4.2,5.4,1.4,0.2,3,2.7,13.4,Aaron Brooks,aaron-brooks-1
2006-07,Oregon,Pac-10,35,35,1289,6.6,14.4,0.46,4.1,8.2,0.502,2.5,6.1,0.404,3.6,4.2,0.846,4.6,4.6,1.5,0.2,2.8,2.7,19.3,Aaron Brooks,aaron-brooks-1
Career,Oregon,,115,110,3759,5.3,12.4,0.43,3.1,6.6,0.479,2.2,5.8,0.374,3.3,3.9,0.834,4.2,5,1.4,0.2,3.2,2.8,16.1,Aaron Brooks,aaron-brooks-1
2013-14,Arizona,Pac-12,38,38,1187,6.4,12.9,0.495,5.8,11.4,0.513,0.5,1.5,0.356,2.6,6.1,0.422,10.2,2.5,1.1,1.3,1.9,3,15.8,Aaron Gordon,aaron-gordon-1
Career,Arizona,,38,38,1187,6.4,12.9,0.495,5.8,11.4,0.513,0.5,1.5,0.356,2.6,6.1,0.422,10.2,2.5,1.1,1.3,1.9,3,15.8,Aaron Gordon,aaron-gordon-1
2003-04,Pitt,Big East,15,0,88,5,9.1,0.55,5,9.1,0.55,0,0,,1.8,3.2,0.571,10,2.7,0,1.4,1.4,5.9,11.8,Aaron Gray,aaron-gray-1
2004-05,Pitt,Big East,29,0,336,5.8,10.1,0.576,5.8,10.1,0.576,0,0,,3.3,5.5,0.609,9.8,2.4,0.6,1.9,3.6,5.7,15,Aaron Gray,aaron-gray-1
2005-06,Pitt,Big East,33,33,920,7.4,14,0.526,7.4,14,0.526,0,0,,5.1,8.1,0.634,15,2.6,0.9,2.1,3.8,3.7,19.9,Aaron Gray,aaron-gray-1
2006-07,Pitt,Big East,36,35,1016,8,14.2,0.565,8,14.2,0.565,0,0,,3.6,6.5,0.548,13.4,2.4,0.6,2.4,2.2,3.6,19.6,Aaron Gray,aaron-gray-1
Career,Pitt,,113,68,2360,7.4,13.4,0.55,7.4,13.4,0.55,0,0,,4.1,6.9,0.595,13.4,2.5,0.7,2.2,3,4,18.8,Aaron Gray,aaron-gray-1
2013-14,Kentucky,SEC,40,40,1303,5.3,12.6,0.423,3.4,7.3,0.473,1.9,5.3,0.356,4.3,5.4,0.79,3.6,2.3,1.3,0.4,2,2.6,16.9,Aaron Harrison,aaron-harrison-1
2014-15,Kentucky,SEC,39,38,1004,5.8,14.7,0.395,3.5,7.3,0.475,2.4,7.5,0.316,3.1,4,0.782,4,2.2,1.7,0.2,1.4,2.4,17.1,Aaron Harrison,aaron-harrison-1
Career,Kentucky,,79,78,2307,5.5,13.5,0.41,3.5,7.3,0.474,2.1,6.3,0.335,3.8,4.8,0.787,3.8,2.2,1.5,0.3,1.7,2.5,17,Aaron Harrison,aaron-harrison-1
2015-16,UCLA,Pac-12,32,32,1013,4.5,11.4,0.394,3,7.7,0.383,1.5,3.7,0.419,2.5,3.5,0.727,3.8,5,1.8,0.3,3.6,4.1,13.1,Aaron Holiday,aaron-holiday-1
2016-17,UCLA,Pac-12,36,0,952,6.3,13,0.485,4.1,7.6,0.539,2.2,5.4,0.411,3.7,4.7,0.793,4.3,6.6,1.6,0.3,3.7,3.4,18.5,Aaron Holiday,aaron-holiday-1
2017-18,UCLA,Pac-12,33,33,1244,6.8,14.8,0.461,4,8.2,0.486,2.8,6.6,0.429,5.1,6.2,0.828,3.9,6.2,1.4,0.3,4,2.8,21.6,Aaron Holiday,aaron-holiday-1
Career,UCLA,,101,65,3209,5.9,13.2,0.45,3.7,7.9,0.469,2.2,5.3,0.422,3.9,4.9,0.795,4,5.9,1.6,0.3,3.8,3.4,18,Aaron Holiday,aaron-holiday-1
2005-06,Duquesne,A-10,27,21,836,3.2,7.7,0.419,2.4,5.3,0.45,0.8,2.3,0.347,1.5,1.9,0.8,4.1,4.6,1.4,0.1,2.7,2.1,8.8,Aaron Jackson,aaron-jackson-1
2006-07,Duquesne,A-10,29,23,912,5.3,10.4,0.511,4.1,6.5,0.628,1.2,3.9,0.315,2.1,3.1,0.69,6.4,4.8,1.8,0.2,2.8,3.4,14,Aaron Jackson,aaron-jackson-1
2007-08,Duquesne,A-10,30,23,793,5.3,9.7,0.549,4.7,7.2,0.657,0.6,2.5,0.24,2.3,3.1,0.738,6.1,5.3,2.2,0.2,2.7,3.1,13.6,Aaron Jackson,aaron-jackson-1
2008-09,Duquesne,A-10,34,34,1249,7.3,13.2,0.554,5.8,9.5,0.613,1.5,3.7,0.405,4.9,6,0.809,6,6.2,1.8,0.1,3.3,2,21,Aaron Jackson,aaron-jackson-1
Career,Duquesne,,120,101,3790,5.5,10.6,0.521,4.4,7.4,0.599,1.1,3.2,0.342,2.9,3.8,0.772,5.7,5.3,1.8,0.1,2.9,2.6,15.1,Aaron Jackson,aaron-jackson-1
1991-92,Temple,A-10,28,28,1011,5.1,11.9,0.433,3.5,6.7,0.521,1.7,5.2,0.321,3.4,4.5,0.754,6.6,3.7,2.5,0.2,1.8,2.7,15.4,Aaron McKie,aaron-mckie-1
1992-93,Temple,A-10,33,,1272,7.5,17.5,0.432,5.1,11.3,0.454,2.4,6.2,0.393,3.9,4.9,0.788,6.1,3.4,2.4,0.2,2.5,2.2,21.4,Aaron McKie,aaron-mckie-1
1993-94,Temple,A-10,31,,1214,6.4,15.8,0.401,4.4,10.6,0.416,1.9,5.2,0.371,4.5,5.5,0.815,7.4,3.2,1.9,0.3,1.7,1.8,19.2,Aaron McKie,aaron-mckie-1
Career,Temple,,92,28,3497,6.4,15.3,0.421,4.4,9.7,0.453,2,5.6,0.366,4,5,0.79,6.7,3.4,2.2,0.3,2,2.2,18.9,Aaron McKie,aaron-mckie-1
2001-02,Kansas,Big 12,37,36,1017,3.6,8.8,0.404,3.1,7.1,0.433,0.5,1.8,0.289,2.7,3.4,0.793,3.9,9.9,2.4,0.1,4.4,2.7,10.4,Aaron Miles,aaron-miles-1
2002-03,Kansas,Big 12,38,38,1170,4.1,10,0.408,3.2,6.6,0.49,0.8,3.4,0.245,2.7,3.6,0.75,4.3,8.3,3.1,0.3,4.2,2.5,11.6,Aaron Miles,aaron-miles-1
2003-04,Kansas,Big 12,33,33,1117,3.6,8.9,0.402,2.6,5.9,0.436,1,3,0.333,2.6,3.7,0.699,4.5,8.7,2.3,0.1,3.2,2,10.7,Aaron Miles,aaron-miles-1
2004-05,Kansas,Big 12,30,30,992,3.5,7.6,0.457,1.9,4.4,0.426,1.6,3.2,0.5,2.7,3.4,0.788,4.3,8.7,2,0.4,3.7,2.3,11.3,Aaron Miles,aaron-miles-1
Career,Kansas,,138,137,4296,3.7,8.9,0.415,2.7,6,0.45,1,2.9,0.342,2.7,3.5,0.755,4.2,8.9,2.5,0.2,3.9,2.4,11,Aaron Miles,aaron-miles-1
1989-90,Xavier,MW Coll,28,1,278,3.9,6.8,0.574,3.9,6.8,0.574,0,0,,1.2,2.9,0.4,10.9,0.9,0.9,4,2.2,5.5,8.9,Aaron Williams,aaron-williams-1
1990-91,Xavier,MW Coll,32,,858,5.9,11,0.536,5.9,11,0.536,0,0,,2.6,3.6,0.714,9.7,1.5,1.2,2.7,4.1,5.4,14.4,Aaron Williams,aaron-williams-1
1991-92,Xavier,MW Coll,27,,786,7.5,12.9,0.585,7.5,12.9,0.585,0,0,,4,5.8,0.699,10.9,1.6,0.8,2.9,3.5,4.8,19.1,Aaron Williams,aaron-williams-1
1992-93,Xavier,MW Coll,30,,843,6,11.1,0.543,6,11.1,0.543,0,0,,3.5,4.5,0.777,10.1,2.6,1,2.6,3.2,4.4,15.5,Aaron Williams,aaron-williams-1
Career,Xavier,,117,1,2765,6.2,11.2,0.556,6.2,11.2,0.556,0,0,,3.1,4.4,0.707,10.3,1.8,1,2.8,3.4,4.9,15.5,Aaron Williams,aaron-williams-1
2011-12,Northern Illinois,MAC,31,29,750,6,17.9,0.337,4.2,11.6,0.358,1.9,6.2,0.299,3.2,4.7,0.682,6.9,1.8,1.1,1.2,4.8,4.5,17.1,Abdel Nader,abdel-nader-1
2012-13,Northern Illinois,MAC,19,18,483,7.4,21.9,0.337,5.2,14.1,0.371,2.2,7.8,0.277,3.6,4.7,0.772,8.9,1.4,2.1,0.8,5.1,4.5,20.5,Abdel Nader,abdel-nader-1
2014-15,Iowa State,Big 12,32,0,524,5.3,13,0.406,4.1,7.7,0.535,1.1,5.3,0.217,2.5,3.3,0.767,7.1,1.8,0.9,1.2,2.8,3.8,14.2,Abdel Nader,abdel-nader-1
2015-16,Iowa State,Big 12,35,35,1088,5.9,12.4,0.478,4,7.2,0.553,1.9,5.1,0.371,2.9,3.9,0.736,6.4,2,1.4,0.8,2.9,3.6,16.6,Abdel Nader,abdel-nader-1
Career,Overall,,117,82,2845,6.1,15.6,0.391,4.3,9.6,0.443,1.8,5.9,0.305,3,4.1,0.731,7.1,1.8,1.3,1,3.8,4,17,Abdel Nader,abdel-nader-1
2003-04,Texas A&M,Big 12,27,12,624,4.8,12.4,0.387,4.1,9.2,0.448,0.7,3.3,0.216,2.6,3.5,0.759,3.6,6.7,2.2,0,3.3,4,12.9,Acie Law,acie-law-1
2004-05,Texas A&M,Big 12,31,30,941,6,12.1,0.493,4.8,9,0.531,1.2,3.1,0.384,2.7,3.7,0.716,4.6,6.5,1.4,0,3.6,4.3,15.8,Acie Law,acie-law-1
2005-06,Texas A&M,Big 12,30,30,1042,6.7,14.9,0.448,5.3,10.6,0.496,1.4,4.3,0.33,3.7,4.9,0.764,3.9,4.6,1.9,0,2.8,3,18.5,Acie Law,acie-law-1
2006-07,Texas A&M,Big 12,34,34,1153,7.5,15,0.5,6.2,12.1,0.51,1.3,2.9,0.458,5,6.4,0.778,3.9,5.9,1.4,0,3.1,2.9,21.3,Acie Law,acie-law-1
Career,Texas A&M,,122,106,3760,6.4,13.8,0.466,5.2,10.4,0.502,1.2,3.4,0.357,3.7,4.8,0.76,4,5.8,1.7,0,3.2,3.4,17.8,Acie Law,acie-law-1
2003-04,Gonzaga,WCC,31,1,644,8.5,16,0.531,7.5,12.5,0.594,1.1,3.5,0.304,3.8,5.2,0.726,8.2,2.7,0.7,0.6,2.2,2.4,21.9,Adam Morrison,adam-morrison-1
2004-05,Gonzaga,WCC,31,29,1059,8.5,17.1,0.498,7.1,12.7,0.564,1.4,4.5,0.311,3.8,5,0.758,6.5,3.3,0.7,0.5,2,2.2,22.2,Adam Morrison,adam-morrison-1
2005-06,Gonzaga,WCC,33,32,1205,10.2,20.5,0.496,7.7,14.7,0.523,2.5,5.7,0.428,8,10.3,0.772,6,1.9,1.2,0.4,2.5,2.2,30.7,Adam Morrison,adam-morrison-1
Career,Gonzaga,,95,62,2908,9.2,18.3,0.503,7.4,13.5,0.551,1.8,4.8,0.368,5.5,7.2,0.761,6.7,2.6,0.9,0.5,2.3,2.3,25.7,Adam Morrison,adam-morrison-1
1994-95,Colgate,Patriot,30,,1063,7.8,13.9,0.559,7.8,13.9,0.559,0,0,,3.6,7.1,0.5,14,1.4,0.8,5.5,3.7,2.9,19.2,Adonal Foyle,adonal-foyle-1
