PLAYER,SEASON,SPORTS_REF_ID,bbref_id,POSITION_CLUSTER
A.J. Hammons,2012-13,aj-hammons-1,hammoaj01,Big
A.J. Hammons,2013-14,aj-hammons-1,hammoaj01,Big
A.J. Hammons,2014-15,aj-hammons-1,hammoaj01,Big
A.J. Hammons,2015-16,aj-hammons-1,hammoaj01,Big
A.J. Hammons,Career,aj-hammons-1,hammoaj01,Big
Aaron Gordon,2013-14,aaron-gordon-1,gordoaa01,Big
Aaron Gordon,Career,aaron-gordon-1,gordoaa01,Big
Aaron Harrison,2013-14,aaron-harrison-1,harriaa01,Wing
Aaron Harrison,2014-15,aaron-harrison-1,harriaa01,Wing
Aaron Harrison,Career,aaron-harrison-1,harriaa01,Wing
Aaron Holiday,2015-16,aaron-holiday-1,holidaa01,Guard
Aaron Holiday,2016-17,aaron-holiday-1,holidaa01,Guard
Aaron Holiday,2017-18,aaron-holiday-1,holidaa01,Guard
Aaron Holiday,Career,aaron-holiday-1,holidaa01,Guard
Abdel Nader,2011-12,abdel-nader-1,naderab01,Wing
Abdel Nader,2012-13,abdel-nader-1,naderab01,Wing
Abdel Nader,2014-15,abdel-nader-1,naderab01,Wing
Abdel Nader,2015-16,abdel-nader-1,naderab01,Wing
Abdel Nader,Career,abdel-nader-1,naderab01,Wing
Adonis Thomas,2011-12,adonis-thomas-1,thomaad01,Wing
Adonis Thomas,2012-13,adonis-thomas-1,thomaad01,Wing
Adonis Thomas,Career,adonis-thomas-1,thomaad01,Wing
Adreian Payne,2010-11,adreian-payne-1,paynead01,Big
Adreian Payne,2011-12,adreian-payne-1,paynead01,Big
Adreian Payne,2012-13,adreian-payne-1,paynead01,Big
Adreian Payne,2013-14,adreian-payne-1,paynead01,Big
Adreian Payne,Career,adreian-payne-1,paynead01,Big
Al-Farouq Aminu,2009-10,al-farouq-aminu-1,aminual01,Big
Al-Farouq Aminu,Career,al-farouq-aminu-1,aminual01,Big
Alan Williams,2011-12,alan-williams-2,willial03,Big
Alan Williams,2012-13,alan-williams-2,willial03,Big
Alan Williams,2013-14,alan-williams-2,willial03,Big
Alan Williams,2014-15,alan-williams-2,willial03,Big
Alan Williams,Career,alan-williams-2,willial03,Big
Alec Burks,2009-10,alec-burks-1,burksal01,Wing
Alec Burks,2010-11,alec-burks-1,burksal01,Wing
Alec Burks,Career,alec-burks-1,burksal01,Wing
Alec Peters,2013-14,alec-peters-1,peteral01,Wing
Alec Peters,2014-15,alec-peters-1,peteral01,Wing
Alec Peters,2015-16,alec-peters-1,peteral01,Wing
Alec Peters,2016-17,alec-peters-1,peteral01,Wing
Alec Peters,Career,alec-peters-1,peteral01,Wing
Alex Caruso,2012-13,alex-caruso-1,carusal01,Guard
Alex Caruso,2013-14,alex-caruso-1,carusal01,Guard
Alex Caruso,2014-15,alex-caruso-1,carusal01,Guard
Alex Caruso,2015-16,alex-caruso-1,carusal01,Guard
Alex Caruso,Career,alex-caruso-1,carusal01,Guard
Alex Kirk,2010-11,alex-kirk-2,kirkal01,Big
Alex Kirk,2012-13,alex-kirk-2,kirkal01,Big
Alex Kirk,2013-14,alex-kirk-2,kirkal01,Big
Alex Kirk,Career,alex-kirk-2,kirkal01,Big
Alex Len,2011-12,alex-len-1,lenal01,Big
Alex Len,2012-13,alex-len-1,lenal01,Big
Alex Len,Career,alex-len-1,lenal01,Big
Alex Poythress,2012-13,alex-poythress-1,poythal01,Big
Alex Poythress,2013-14,alex-poythress-1,poythal01,Big
Alex Poythress,2014-15,alex-poythress-1,poythal01,Big
Alex Poythress,2015-16,alex-poythress-1,poythal01,Big
Alex Poythress,Career,alex-poythress-1,poythal01,Big
Alex Stepheson,2009-10,alex-stepheson-1,stephal01,Big
Alex Stepheson,2010-11,alex-stepheson-1,stephal01,Big
Alex Stepheson,Career,alex-stepheson-1,stephal01,Big
Alfonzo McKinnie,2010-11,alfonzo-mckinnie-1,mckinal01,Big
Alfonzo McKinnie,2011-12,alfonzo-mckinnie-1,mckinal01,Big
Alfonzo McKinnie,2013-14,alfonzo-mckinnie-1,mckinal01,Wing
Alfonzo McKinnie,2014-15,alfonzo-mckinnie-1,mckinal01,Wing
Alfonzo McKinnie,Career,alfonzo-mckinnie-1,mckinal01,Big
Alize Johnson,2016-17,alize-johnson-1,johnsal02,Big
Alize Johnson,2017-18,alize-johnson-1,johnsal02,Big
Alize Johnson,Career,alize-johnson-1,johnsal02,Big
Allen Crabbe,2010-11,allen-crabbe-1,crabbal01,Wing
Allen Crabbe,2011-12,allen-crabbe-1,crabbal01,Wing
Allen Crabbe,2012-13,allen-crabbe-1,crabbal01,Wing
Allen Crabbe,Career,allen-crabbe-1,crabbal01,Wing
Allonzo Trier,2015-16,allonzo-trier-1,trieral01,Wing
Allonzo Trier,2016-17,allonzo-trier-1,trieral01,Wing
Allonzo Trier,2017-18,allonzo-trier-1,trieral01,Guard
Allonzo Trier,Career,allonzo-trier-1,trieral01,Wing
Amile Jefferson,2012-13,amile-jefferson-1,jeffeam01,Big
Amile Jefferson,2013-14,amile-jefferson-1,jeffeam01,Big
Amile Jefferson,2014-15,amile-jefferson-1,jeffeam01,Big
Amile Jefferson,2015-16,amile-jefferson-1,jeffeam01,Big
Amile Jefferson,2016-17,amile-jefferson-1,jeffeam01,Big
Amile Jefferson,Career,amile-jefferson-1,jeffeam01,Big
Andre Dawkins,2009-10,andre-dawkins-1,dawkian01,Wing
Andre Dawkins,2010-11,andre-dawkins-1,dawkian01,Wing
Andre Dawkins,2011-12,andre-dawkins-1,dawkian01,Wing
Andre Dawkins,2013-14,andre-dawkins-1,dawkian01,Wing
Andre Dawkins,Career,andre-dawkins-1,dawkian01,Wing
Andre Drummond,2011-12,andre-drummond-1,drumman01,Big
Andre Drummond,Career,andre-drummond-1,drumman01,Big
Andre Roberson,2010-11,andre-roberson-1,roberan03,Big
Andre Roberson,2011-12,andre-roberson-1,roberan03,Big
Andre Roberson,2012-13,andre-roberson-1,roberan03,Big
Andre Roberson,Career,andre-roberson-1,roberan03,Big
Andrew Goudelock,2009-10,andrew-goudelock-1,goudean01,Guard
Andrew Goudelock,2010-11,andrew-goudelock-1,goudean01,Guard
Andrew Goudelock,Career,andrew-goudelock-1,goudean01,Guard
Andrew Harrison,2013-14,andrew-harrison-1,harrian01,Guard
Andrew Harrison,2014-15,andrew-harrison-1,harrian01,Guard
Andrew Harrison,Career,andrew-harrison-1,harrian01,Guard
Andrew Nicholson,2009-10,andrew-nicholson-1,nichoan01,Big
Andrew Nicholson,2010-11,andrew-nicholson-1,nichoan01,Big
Andrew Nicholson,2011-12,andrew-nicholson-1,nichoan01,Big
Andrew Nicholson,Career,andrew-nicholson-1,nichoan01,Big
Andrew White,2012-13,andrew-whiteiii-1,whitean01,Wing
Andrew White,2013-14,andrew-whiteiii-1,whitean01,Wing
Andrew White,2015-16,andrew-whiteiii-1,whitean01,Wing
Andrew White,2016-17,andrew-whiteiii-1,whitean01,Wing
Andrew White,Career,andrew-whiteiii-1,whitean01,Wing
Andrew Wiggins,2013-14,andrew-wiggins-1,wiggian01,Wing
Andrew Wiggins,Career,andrew-wiggins-1,wiggian01,Wing
Andy Rautins,2009-10,andy-rautins-1,rautian01,Guard
Andy Rautins,Career,andy-rautins-1,rautian01,Guard
Angel Delgado,2014-15,angel-delgado-1,delgaan01,Big
Angel Delgado,2015-16,angel-delgado-1,delgaan01,Big
Angel Delgado,2016-17,angel-delgado-1,delgaan01,Big
Angel Delgado,2017-18,angel-delgado-1,delgaan01,Big
Angel Delgado,Career,angel-delgado-1,delgaan01,Big
Anthony Bennett,2012-13,anthony-bennett-1,bennean01,Big
Anthony Bennett,Career,anthony-bennett-1,bennean01,Big
Anthony Brown,2010-11,anthony-brown-5,brownan02,Wing
Anthony Brown,2011-12,anthony-brown-5,brownan02,Wing
Anthony Brown,2012-13,anthony-brown-5,brownan02,Wing
Anthony Brown,2013-14,anthony-brown-5,brownan02,Wing
Anthony Brown,2014-15,anthony-brown-5,brownan02,Wing
Anthony Brown,Career,anthony-brown-5,brownan02,Wing
Anthony Davis,2011-12,anthony-davis-5,davisan02,Big
