BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,PLAYER,POSITION,AGE,TEAM,ADVANCED_POSITION_CLUSTER,G_3WAVG,GS_3WAVG,MP_3WAVG,FG_3WAVG,FGA_3WAVG,FG%_3WAVG,3P_3WAVG,3PA_3WAVG,3P%_3WAVG,2P_3WAVG,2PA_3WAVG,2P%_3WAVG,EFG%_3WAVG,FT_3WAVG,FTA_3WAVG,FT%_3WAVG,ORB_3WAVG,DRB_3WAVG,TRB_3WAVG,AST_3WAVG,STL_3WAVG,BLK_3WAVG,TOV_3WAVG,PF_3WAVG,PTS_3WAVG,PER100_FG_3WAVG,PER100_FGA_3WAVG,PER100_FG%_3WAVG,PER100_3P_3WAVG,PER100_3PA_3WAVG,PER100_3P%_3WAVG,PER100_2P_3WAVG,PER100_2PA_3WAVG,PER100_2P%_3WAVG,PER100_FT_3WAVG,PER100_FTA_3WAVG,PER100_FT%_3WAVG,PER100_ORB_3WAVG,PER100_DRB_3WAVG,PER100_TRB_3WAVG,PER100_AST_3WAVG,PER100_STL_3WAVG,PER100_BLK_3WAVG,PER100_TOV_3WAVG,PER100_PF_3WAVG,PER100_PTS_3WAVG,PER100_ORTG_3WAVG,PER100_DRTG_3WAVG,PER_3WAVG,TS%_3WAVG,3PA_RATE_3WAVG,FT_RATE_3WAVG,ORB%_3WAVG,DRB%_3WAVG,TRB%_3WAVG,AST%_3WAVG,STL%_3WAVG,BLK%_3WAVG,TOV%_3WAVG,USG%_3WAVG,OWS_3WAVG,DWS_3WAVG,WS_3WAVG,WS/48_3WAVG,OBPM_3WAVG,DBPM_3WAVG,BPM_3WAVG,VORP_3WAVG
jefferi01,2013-2014,-2.51333333333333,-0.64,-1.8133333333333301,-1.8933333333333302,-3.45333333333333,,Richard Jefferson,SF,33,UTA,Wing,82.0,78.0,2213.0,294.0,654.0,0.45,123.0,301.0,0.409,171.0,353.0,0.484,0.544,120.0,162.0,0.741,18.0,201.0,219.0,130.0,56.0,14.0,94.0,168.0,831.0,7.0,15.5,0.45,2.9,7.1,0.409,4.1,8.4,0.484,2.8,3.8,0.741,0.4,4.8,5.2,3.1,1.3,0.3,2.2,4.0,19.7,109.0,114.0,11.8,0.573,0.46,0.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,2.3,0.4,2.7,0.058,0.3,-1.7,-1.4,0.3
johnsjo02,2013-2014,1.76666666666667,0.6466666666666671,-0.06,-0.613333333333333,-3.96666666666667,,Joe Johnson,SG,32,BRK,Wing,79.0,79.0,2575.0,462.0,1018.0,0.454,162.0,404.0,0.401,300.0,614.0,0.489,0.5329999999999999,159.0,195.0,0.815,48.0,222.0,270.0,216.0,47.0,10.0,120.0,129.0,1245.0,9.4,20.8,0.454,3.3,8.2,0.401,6.1,12.5,0.489,3.2,4.0,0.815,1.0,4.5,5.5,4.4,1.0,0.2,2.4,2.6,25.4,110.0,112.0,15.5,0.564,0.397,0.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,3.9,1.0,4.9,0.091,2.0,-2.2,-0.2,1.2
parketo01,2013-2014,1.64,-2.7666666666666697,-0.23333333333333303,-2.10666666666667,-3.8,-3.2933333333333303,Tony Parker,PG,31,SAS,Guard,68.0,68.0,1997.0,456.0,914.0,0.499,25.0,67.0,0.373,431.0,847.0,0.509,0.513,197.0,243.0,0.8109999999999999,17.0,138.0,155.0,388.0,36.0,9.0,151.0,86.0,1134.0,11.5,23.1,0.499,0.6,1.7,0.373,10.9,21.4,0.509,5.0,6.1,0.8109999999999999,0.4,3.5,3.9,9.8,0.9,0.2,3.8,2.2,28.7,110.0,107.0,18.9,0.555,0.073,0.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,3.9,1.9,5.9,0.141,1.3,-1.8,-0.5,0.8
randoza01,2013-2014,1.52666666666667,3.53333333333333,-0.926666666666667,-1.6466666666666698,-2.44666666666667,,Zach Randolph,PF,32,MEM,Big,79.0,79.0,2705.0,560.0,1198.0,0.467,2.0,20.0,0.1,558.0,1178.0,0.474,0.468,250.0,337.0,0.742,265.0,530.0,795.0,200.0,54.0,23.0,183.0,210.0,1372.0,11.1,23.7,0.467,0.0,0.4,0.1,11.0,23.3,0.474,4.9,6.7,0.742,5.2,10.5,15.7,3.9,1.1,0.5,3.6,4.1,27.1,105.0,105.0,18.3,0.51,0.017,0.281,11.6,23.3,17.4,12.7,1.1,0.7,12.0,26.1,2.9,3.5,6.4,0.113,0.1,0.4,0.4,1.7
wallage01,2013-2014,0.146666666666667,-2.08,,,,,Gerald Wallace,SF,31,BOS,Wing,58.0,16.0,1416.0,116.0,230.0,0.504,19.0,64.0,0.297,97.0,166.0,0.584,0.546,47.0,101.0,0.465,36.0,176.0,212.0,143.0,73.0,14.0,97.0,79.0,298.0,4.2,8.4,0.504,0.7,2.3,0.297,3.5,6.0,0.584,1.7,3.7,0.465,1.3,6.4,7.7,5.2,2.7,0.5,3.5,2.9,10.8,95.0,106.0,10.0,0.5429999999999999,0.278,0.439,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,-0.3,1.6,1.3,0.043,-2.5,2.2,-0.3,0.6
watsoea01,2013-2014,-3.36666666666667,,,,,,Earl Watson,PG,34,POR,Guard,24.0,0.0,161.0,3.0,11.0,0.273,2.0,7.0,0.28600000000000003,1.0,4.0,0.25,0.364,4.0,4.0,1.0,5.0,10.0,15.0,28.0,5.0,1.0,17.0,33.0,12.0,0.9,3.5,0.273,0.6,2.2,0.28600000000000003,0.3,1.3,0.25,1.3,1.3,1.0,1.6,3.1,4.7,8.8,1.6,0.3,5.3,10.4,3.8,82.0,110.0,2.1,0.47,0.636,0.364,3.4,6.6,5.0,22.0,1.6,0.4,57.1,8.1,-0.2,0.1,-0.1,-0.018000000000000002,-5.1,-0.5,-5.6,-0.1
bryanko01,2013-2014,-0.4866666666666671,-1.33333333333333,-2.55333333333333,,,,Kobe Bryant,SG,35,LAL,Guard,6.0,6.0,177.0,31.0,73.0,0.425,3.0,16.0,0.188,28.0,57.0,0.491,0.445,18.0,21.0,0.857,2.0,24.0,26.0,38.0,7.0,1.0,34.0,9.0,83.0,8.5,20.1,0.425,0.8,4.4,0.188,7.7,15.7,0.491,4.9,5.8,0.857,0.5,6.6,7.1,10.4,1.9,0.3,9.3,2.5,22.8,84.0,111.0,10.7,0.505,0.219,0.28800000000000003,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,-0.5,0.1,-0.4,-0.097,-4.7,-1.3,-5.9,-0.2
anderch01,2013-2014,3.2,0.24,-0.4533333333333329,-0.553333333333333,,,Chris Andersen,C,35,MIA,Big,72.0,0.0,1396.0,177.0,275.0,0.644,3.0,12.0,0.25,174.0,263.0,0.662,0.649,120.0,169.0,0.71,129.0,250.0,379.0,19.0,32.0,97.0,53.0,162.0,477.0,6.7,10.4,0.644,0.1,0.5,0.25,6.6,9.9,0.662,4.5,6.4,0.71,4.9,9.4,14.3,0.7,1.2,3.7,2.0,6.1,18.0,130.0,102.0,18.5,0.6829999999999999,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,3.8,2.2,6.0,0.205,0.1,1.5,1.6,1.3
cartevi01,2013-2014,3.35333333333333,-1.33333333333333,-1.06,1.2,-0.506666666666667,-1.28666666666667,Vince Carter,SG,37,DAL,Wing,81.0,0.0,1973.0,330.0,811.0,0.407,146.0,371.0,0.394,184.0,440.0,0.418,0.4970000000000001,161.0,196.0,0.821,67.0,217.0,284.0,212.0,61.0,35.0,108.0,209.0,967.0,8.6,21.1,0.407,3.8,9.6,0.394,4.8,11.4,0.418,4.2,5.1,0.821,1.7,5.6,7.4,5.5,1.6,0.9,2.8,5.4,25.1,109.0,110.0,15.9,0.539,0.457,0.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,3.0,1.3,4.3,0.105,2.2,-1.0,1.1,1.6
crawfja01,2013-2014,-0.3533333333333329,-1.8533333333333302,-2.40666666666667,-3.16,-4.92,-5.77333333333333,Jamal Crawford,SG,33,LAC,Wing,69.0,24.0,2094.0,421.0,1011.0,0.416,161.0,446.0,0.361,260.0,565.0,0.46,0.496,279.0,322.0,0.866,34.0,124.0,158.0,223.0,59.0,12.0,135.0,120.0,1282.0,10.1,24.2,0.416,3.8,10.7,0.361,6.2,13.5,0.46,6.7,7.7,0.866,0.8,3.0,3.8,5.3,1.4,0.3,3.2,2.9,30.6,110.0,109.0,17.3,0.556,0.441,0.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,3.8,1.5,5.3,0.122,2.7,-2.6,0.2,1.2
