BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,SALARY,SALARY_PROP_CAP,AGE,EXPERIENCE,TEAM,POSITION,GAMES_PLAYED,MINUTES_PLAYED,ON_COURT_PLUS_MINUS,OFF_COURT_PLUS_MINUS,PROP_PG,PROP_SG,PROP_SF,PROP_PF,PROP_C,MINUTES_PG,MINUTES_SG,MINUTES_SF,MINUTES_PF,MINUTES_C,POSITION_MINUTES,POSITION_NUMERIC,ADVANCED_POSITION_CLUSTER,ORPM,DRPM,RPM,WINS
jefferi01,2013-2014,-2.51333333333333,-0.64,-1.8133333333333301,-1.8933333333333302,-3.45333333333333,,11046000.0,0.18824451677772303,33,13,UTA,SF,82,2213,-9.7,-3.9,0.0,0.71,0.29,0.0,0.0,0.0,1571.23,641.77,0.0,0.0,SG,2.29,Wing,-1.93,-1.14,-3.07,-0.96
johnsjo02,2013-2014,1.76666666666667,0.6466666666666671,-0.06,-0.613333333333333,-3.96666666666667,,21466718.0,0.365833057823071,32,13,BRK,SG,79,2575,0.7,4.0,0.01,0.61,0.38,0.01,0.0,25.75,1570.75,978.5,25.75,0.0,SG,2.41,Wing,3.55,-0.8,2.75,7.8
parketo01,2013-2014,1.64,-2.7666666666666697,-0.23333333333333303,-2.10666666666667,-3.8,-3.2933333333333303,12500000.0,0.21302339849009,31,13,SAS,PG,68,1997,6.9,-2.5,0.95,0.05,0.0,0.0,0.0,1897.15,99.85,0.0,0.0,0.0,PG,1.05,Guard,3.11,-0.4,2.71,6.4
randoza01,2013-2014,1.52666666666667,3.53333333333333,-0.926666666666667,-1.6466666666666698,-2.44666666666667,,17800000.0,0.30334531944988796,32,13,MEM,PF,79,2705,3.2,3.4,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,2434.5,270.5,PF,4.1,Big,1.06,1.03,2.09,7.09
wallage01,2013-2014,0.146666666666667,-2.08,,,,,10105855.0,0.172222686139846,31,13,BOS,SF,58,1416,-5.8,-1.0,0.0,0.43,0.55,0.01,0.0,0.0,608.88,778.8,14.16,0.0,SF,2.55,Wing,-2.02,2.39,0.37,2.39
watsoea01,2013-2014,-3.36666666666667,,,,,,1399507.0,0.0238502189880536,34,13,POR,PG,24,161,0.1,-4.0,1.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,-1.98,-0.27,-2.25,0.01
bryanko01,2013-2014,-0.4866666666666671,-1.33333333333333,-2.55333333333333,,,,30453805.0,0.51898984304436,35,14,LAL,SG,6,177,-9.6,-3.7,0.27,0.55,0.18,0.0,0.0,47.79,97.35,31.86,0.0,0.0,SG,1.91,Guard,3.87,-1.65,2.22,0.52
anderch01,2013-2014,3.2,0.24,-0.4533333333333329,-0.553333333333333,,,1399507.0,0.0238502189880536,35,12,MIA,C,72,1396,6.6,1.9,0.0,0.0,0.0,0.28,0.72,0.0,0.0,0.0,390.88,1005.12,C,4.72,Big,0.19,3.81,4.0,5.17
cartevi01,2013-2014,3.35333333333333,-1.33333333333333,-1.06,1.2,-0.506666666666667,-1.28666666666667,3180000.0,0.0541931525758789,37,14,DAL,SG,81,1973,2.7,0.5,0.0,0.3,0.7,0.0,0.0,0.0,591.9,1381.1,0.0,0.0,SF,2.7,Wing,2.02,2.46,4.48,8.35
crawfja01,2013-2014,-0.3533333333333329,-1.8533333333333302,-2.40666666666667,-3.16,-4.92,-5.77333333333333,5225000.0,0.0890437805688577,33,14,LAC,SG,69,2094,5.6,-3.1,0.0,0.78,0.22,0.0,0.0,0.0,1633.32,460.68,0.0,0.0,SG,2.22,Wing,1.75,-2.38,-0.63,2.3
